sid,train_counts
0,2738
2,2407
1,2366
3,2266
4,2151
6,2118
5,2102
7,2098
8,2087
9,2040
10,2032
11,2000
12,1995
14,1958
13,1956
15,1898
16,1865
18,1855
17,1828
21,1818
20,1815
24,1813
23,1805
19,1801
22,1791
27,1747
25,1729
26,1728
29,1693
28,1648
31,1622
32,1579
30,1572
33,1524
38,1439
37,1437
34,1437
35,1419
36,1413
41,1406
43,1395
39,1392
45,1389
40,1374
51,1364
47,1359
42,1355
44,1350
50,1342
46,1340
49,1339
52,1330
48,1325
53,1324
55,1323
54,1320
56,1299
57,1277
58,1264
59,1255
63,1241
61,1239
62,1228
64,1228
65,1226
60,1223
67,1219
68,1209
69,1186
66,1184
76,1174
74,1172
70,1162
81,1160
71,1156
77,1150
73,1149
80,1146
83,1135
72,1123
79,1121
75,1118
78,1113
99,1111
82,1110
96,1108
87,1107
84,1105
95,1097
85,1096
88,1096
86,1096
90,1091
91,1090
94,1087
89,1083
104,1083
92,1075
102,1073
103,1070
98,1067
97,1066
105,1058
101,1058
107,1051
109,1050
100,1047
106,1046
93,1037
108,1036
116,1021
112,1020
113,1019
117,1015
114,1010
120,1006
110,1004
118,1002
119,1001
111,999
127,998
125,997
115,992
124,981
128,979
123,975
129,975
121,974
122,973
130,971
126,966
131,955
134,951
138,951
133,950
132,947
135,946
143,944
141,941
140,941
145,933
137,931
136,929
144,926
147,923
139,922
150,921
142,920
160,917
155,913
146,907
148,906
149,904
152,900
154,897
159,894
164,893
156,892
166,889
153,888
165,888
151,884
176,884
170,880
163,880
157,878
173,875
158,874
162,873
171,872
179,871
167,871
169,870
175,869
174,869
172,868
161,868
168,861
186,855
180,851
177,848
183,845
188,842
190,842
178,841
191,839
187,838
185,837
182,833
189,833
193,832
200,829
184,828
196,826
194,823
201,820
202,818
181,813
204,809
221,808
213,808
206,807
209,806
203,805
197,804
199,803
205,803
195,800
192,799
211,798
210,797
219,795
198,793
224,793
212,789
222,789
217,789
207,787
220,786
208,786
218,781
215,780
225,777
214,773
230,772
216,770
228,766
229,759
223,759
244,757
227,756
237,756
238,753
235,752
240,752
234,751
226,747
232,745
231,745
251,743
245,741
241,739
252,738
233,737
243,737
247,736
236,736
246,736
250,734
255,731
253,730
268,729
254,728
239,723
256,720
