uid,total_counts
0,2233
1,1838
2,1728
3,1590
4,1518
5,1500
6,1338
7,1319
8,1291
9,1281
10,1274
11,1269
12,1259
13,1256
14,1241
15,1240
16,1226
17,1219
18,1219
19,1211
20,1211
21,1211
22,1171
23,1169
24,1158
25,1151
26,1144
27,1113
28,1074
29,1050
30,1047
31,1036
32,1019
33,1015
34,1014
35,1013
36,1011
37,1008
38,1005
39,1001
40,999
41,998
42,989
43,981
44,971
45,967
46,961
47,960
48,955
49,953
50,945
51,941
52,937
53,936
54,934
55,926
56,922
57,920
58,914
59,908
60,905
61,900
62,894
63,893
64,893
65,889
66,886
67,884
68,883
69,882
70,878
71,875
72,874
73,872
74,872
75,868
76,868
77,866
78,864
79,862
80,857
81,856
82,854
83,852
84,850
85,849
86,848
87,847
88,847
89,843
90,840
91,837
92,837
94,836
93,836
95,831
96,829
97,825
98,825
99,825
100,824
101,823
102,822
103,820
104,819
105,819
107,815
106,815
108,813
109,812
110,803
111,796
112,795
113,795
114,793
115,793
116,792
118,789
117,789
119,786
120,784
121,782
122,781
123,777
124,775
125,775
126,773
127,769
129,766
128,766
130,765
131,764
132,764
133,764
134,761
135,761
136,759
137,756
138,754
139,751
140,749
141,748
142,744
143,742
144,741
145,740
146,736
147,735
148,734
149,733
150,731
153,729
152,729
151,729
154,728
155,728
156,726
157,724
158,724
159,723
160,722
161,720
162,720
163,720
164,717
165,716
166,714
167,711
168,710
169,707
170,707
171,702
172,701
173,700
174,699
175,698
176,695
177,694
178,694
179,693
180,688
181,686
182,685
183,684
184,684
185,683
186,683
188,682
187,682
189,679
190,678
191,678
192,677
193,675
194,671
195,670
196,670
197,668
199,667
198,667
200,666
201,665
202,662
203,661
204,659
205,655
206,654
207,651
208,650
209,648
210,646
211,645
212,644
213,640
214,639
215,638
216,636
217,634
218,634
219,634
220,633
221,633
224,631
223,631
222,631
225,630
226,628
227,628
228,627
229,626
230,626
231,625
232,625
235,624
234,624
233,624
236,622
237,622
238,621
239,618
240,617
241,616
242,616
243,613
244,612
247,611
246,611
245,611
248,610
249,610
250,607
251,606
252,605
253,603
254,602
255,601
256,600
257,599
258,598
259,597
260,596
261,594
262,592
263,592
264,591
265,591
266,591
267,589
268,588
270,587
269,587
271,586
272,583
273,583
274,582
275,582
276,582
277,579
278,579
279,576
280,576
281,573
282,572
283,572
284,572
285,570
286,564
287,564
288,564
289,563
290,562
291,561
293,560
292,560
294,559
295,559
296,559
297,557
298,557
299,556
300,556
301,556
302,555
303,554
304,553
305,552
306,551
307,551
308,550
309,550
310,549
311,549
312,548
313,548
314,548
315,547
317,546
316,546
318,545
319,544
320,544
321,544
322,543
323,543
324,542
325,541
326,541
327,539
328,538
329,536
330,536
331,534
332,534
333,533
334,532
335,529
336,529
337,529
338,529
339,529
342,528
340,528
341,528
343,526
344,525
345,525
346,525
347,525
348,525
349,523
350,521
351,521
354,520
352,520
353,520
355,518
356,518
357,517
358,517
359,517
360,517
361,516
362,515
364,514
363,514
365,513
366,513
367,512
368,512
369,511
370,510
371,510
372,510
373,510
376,509
374,509
375,509
377,508
378,507
380,507
379,507
381,506
384,506
385,506
382,506
383,506
386,505
387,505
388,504
389,504
390,503
391,503
392,503
393,501
394,500
395,499
396,499
397,499
398,499
399,498
401,497
400,497
403,496
402,496
404,494
405,493
406,492
407,492
408,491
409,490
412,489
413,489
411,489
410,489
414,488
415,488
416,487
417,487
418,486
419,485
421,484
423,484
422,484
420,484
424,483
425,483
426,483
427,482
428,481
429,480
430,480
431,480
432,480
433,479
434,478
435,478
436,477
437,477
438,476
439,475
440,473
441,473
442,472
445,471
444,471
443,471
446,470
447,469
448,469
449,468
450,468
451,467
452,467
453,467
456,465
455,465
454,465
457,463
458,462
459,461
460,461
461,460
462,460
463,460
464,460
467,459
469,459
466,459
465,459
468,459
470,456
471,456
472,456
473,454
474,453
475,453
476,453
477,452
478,452
479,451
481,450
480,450
482,449
483,446
484,446
485,446
486,446
487,446
488,445
489,445
490,444
491,444
492,443
493,442
495,442
496,442
497,442
494,442
498,441
499,440
500,440
501,439
502,438
505,437
503,437
504,437
506,436
507,436
508,436
509,435
510,434
511,434
512,434
513,433
514,431
515,430
516,430
517,429
518,429
519,428
520,427
521,427
522,427
523,427
524,427
525,427
526,426
527,425
528,425
529,424
530,424
531,423
532,423
533,423
534,423
535,422
536,422
537,422
538,421
539,420
540,420
541,420
542,419
543,419
544,419
545,419
546,418
547,416
548,416
549,416
550,415
551,414
552,413
553,413
554,413
555,413
556,412
557,411
558,411
559,411
561,410
562,410
560,410
565,409
566,409
563,409
564,409
568,408
569,408
570,408
567,408
571,407
572,407
576,406
579,406
578,406
577,406
575,406
574,406
573,406
580,404
581,404
582,404
583,404
584,404
585,404
589,403
591,403
590,403
587,403
588,403
586,403
592,402
593,402
594,401
595,401
596,401
600,400
599,400
598,400
597,400
601,399
602,399
603,399
604,399
605,399
608,398
610,398
609,398
607,398
606,398
613,397
614,397
611,397
612,397
615,396
616,396
617,395
618,395
620,395
621,395
619,395
622,394
623,394
624,394
625,393
626,393
627,393
631,392
633,392
632,392
630,392
628,392
629,392
634,391
635,391
636,391
637,390
638,390
639,390
640,389
642,388
643,388
641,388
644,387
645,387
646,387
647,386
648,386
649,385
650,385
651,384
652,384
653,384
658,383
657,383
655,383
656,383
654,383
659,382
661,382
662,382
660,382
663,380
664,379
665,379
666,379
667,378
668,378
672,377
674,377
673,377
670,377
671,377
669,377
675,376
676,376
677,376
678,375
679,375
681,374
680,374
682,373
683,373
684,373
685,371
686,371
687,371
688,371
689,371
690,371
693,370
692,370
691,370
694,369
695,368
696,368
697,368
698,367
699,367
700,367
701,367
704,366
703,366
702,366
705,364
706,363
707,363
708,362
709,362
710,362
711,362
712,362
717,361
716,361
715,361
713,361
714,361
718,359
719,359
720,359
721,358
722,358
723,358
725,357
726,357
724,357
728,356
729,356
730,356
731,356
732,356
727,356
733,355
734,355
735,355
740,354
742,354
741,354
737,354
739,354
738,354
736,354
743,353
744,353
745,352
746,352
750,351
751,351
752,351
749,351
747,351
748,351
753,350
756,350
754,350
755,350
757,349
758,348
759,348
760,348
761,347
762,346
763,346
764,346
767,345
765,345
766,345
768,343
769,343
770,342
771,342
772,342
773,342
774,342
776,341
777,341
775,341
779,340
780,340
781,340
778,340
782,339
783,338
784,338
785,338
786,338
788,337
787,337
789,336
790,336
791,335
792,335
793,335
794,335
795,334
796,334
799,333
797,333
798,333
803,332
804,332
800,332
802,332
801,332
805,331
806,331
807,331
808,331
809,330
811,329
812,329
810,329
813,328
814,328
815,328
816,328
817,328
818,328
819,328
821,327
820,327
822,326
828,326
832,326
823,326
830,326
829,326
831,326
827,326
826,326
825,326
824,326
833,325
834,324
835,324
836,324
837,324
838,324
842,323
843,323
844,323
841,323
840,323
839,323
847,322
848,322
846,322
845,322
851,321
852,321
849,321
850,321
854,320
855,320
856,320
853,320
857,319
858,319
