uid,train_counts
0,1740
1,1505
2,1377
3,1297
4,1210
5,1192
6,1074
11,1055
7,1052
9,1038
10,1011
8,1010
12,1007
13,1000
16,993
17,992
14,976
19,972
20,969
15,968
21,964
18,959
23,943
24,927
22,925
25,915
26,908
27,905
28,861
31,829
35,819
41,818
30,816
29,815
40,810
37,807
32,804
34,800
33,800
38,795
39,793
36,792
42,789
44,782
48,778
43,776
50,761
47,759
49,757
45,756
46,755
54,750
53,749
51,747
52,747
56,745
57,739
59,731
65,719
62,719
60,717
66,717
55,714
67,712
61,711
64,711
58,709
76,708
74,705
75,704
63,704
79,701
73,700
68,699
72,697
69,696
80,691
87,688
81,687
78,687
77,685
83,685
92,682
82,682
94,682
90,681
70,679
89,679
84,677
71,675
100,673
101,672
85,672
86,671
93,668
96,668
97,666
102,665
95,664
112,660
105,660
103,658
91,657
88,657
98,656
107,655
104,652
108,652
99,650
110,648
121,641
111,639
119,639
106,637
126,637
116,636
109,635
120,632
128,630
125,629
114,628
115,625
118,624
122,624
135,623
117,622
123,621
113,620
130,619
136,619
124,616
127,612
134,611
138,610
146,610
129,609
133,606
150,604
149,603
132,601
154,597
156,597
143,596
155,596
168,596
131,592
161,591
145,591
152,590
144,590
148,589
151,588
137,588
164,588
158,588
142,587
141,585
139,584
160,584
165,582
140,582
157,580
153,578
163,576
147,575
159,574
162,574
166,570
178,568
171,567
190,566
179,566
174,563
167,562
181,558
176,558
188,558
175,558
170,557
177,556
194,553
189,552
185,551
173,551
192,551
169,551
183,549
193,548
184,547
196,544
172,544
180,543
195,542
201,539
187,539
207,539
197,538
200,538
182,532
191,532
199,530
203,529
230,527
212,526
202,525
225,524
186,523
198,523
209,522
222,522
216,521
211,521
224,519
217,519
208,519
210,515
221,513
205,513
206,513
204,512
229,510
231,506
235,506
233,505
215,505
219,505
218,504
241,502
232,501
237,500
240,500
220,499
249,499
223,498
265,498
228,498
236,498
251,496
214,496
226,496
213,495
252,493
247,491
238,491
257,491
242,490
259,490
234,490
243,487
239,486
248,484
260,482
273,481
250,481
267,481
266,480
227,480
263,480
258,478
246,476
245,475
270,474
253,474
268,474
254,474
244,473
272,470
261,469
275,468
284,468
287,467
262,467
278,467
269,467
290,467
271,465
285,464
274,464
286,464
302,462
279,462
264,460
255,460
297,459
281,458
294,458
276,455
283,455
256,454
293,453
292,452
277,449
295,447
280,447
282,446
309,445
308,445
305,445
322,444
325,444
307,443
304,442
319,441
300,441
289,441
321,441
306,441
314,440
296,440
317,439
291,439
299,437
303,437
298,437
301,437
318,436
339,436
315,435
